,tract,Name,Median_Rent,Median_Hhold_Income,Poverty_Rate,College_Graduates,Short_Work_Commutes,city
0,17031010100,"Rogers Park, Chicago, IL",872.0,29489.0,0.354,0.3494,0.1337,Rogers Park
1,17031010201,"Rogers Park, Chicago, IL",1012.0,38377.0,0.3532,0.3188,0.1098,Rogers Park
2,17031010202,"Rogers Park, Chicago, IL",951.0,29065.0,0.232,0.3671,0.1311,Rogers Park
3,17031010300,"Rogers Park, Chicago, IL",897.0,37048.0,0.1749,0.3619,0.0878,Rogers Park
4,17031010400,"Rogers Park, Chicago, IL",977.0,36764.0,0.1755,0.682,0.2055,Rogers Park
5,17031010501,"Rogers Park, Chicago, IL",877.0,26417.0,0.2029,0.5356,0.0873,Rogers Park
6,17031010502,"Rogers Park, Chicago, IL",916.0,29498.0,0.3869,0.5214,0.1282,Rogers Park
7,17031010503,"Rogers Park, Chicago, IL",659.0,17350.0,0.4658,0.3746,0.1215,Rogers Park
8,17031010600,"Rogers Park, Chicago, IL",958.0,43410.0,0.174,0.4701,0.0669,Rogers Park
9,17031010701,"Rogers Park, Chicago, IL",1041.0,56397.0,0.1548,0.458,0.0476,Rogers Park
10,17031010702,"Rogers Park, Chicago, IL",946.0,36010.0,0.3629,0.3985,0.145,Rogers Park
11,17031020100,"West Ridge, Chicago, IL",1033.0,50817.0,0.2164,0.3089,0.0944,West Ridge
12,17031020200,"West Ridge, Chicago, IL",970.0,73666.0,0.2091,0.4544,0.2137,West Ridge
13,17031020301,"West Ridge, Chicago, IL",800.0,52536.0,0.0932,0.5699,0.232,West Ridge
14,17031020302,"West Ridge, Chicago, IL",1020.0,68060.0,0.1664,0.5761,0.1479,West Ridge
15,17031020400,"West Ridge, Chicago, IL",1046.0,63275.0,0.2119,0.4824,0.1229,West Ridge
16,17031020500,"West Ridge, Chicago, IL",955.0,38859.0,0.2908,0.3301,0.2229,West Ridge
17,17031020601,"West Ridge, Chicago, IL",1010.0,40403.0,0.2525,0.3534,0.2943,West Ridge
18,17031020602,"West Rogers Park, Chicago, IL",1003.0,44784.0,0.3071,0.402,0.1859,West Rogers Park
19,17031020701,"Peterson Park, Chicago, IL",1226.0,76329.0,0.1253,0.4436,0.1013,Peterson Park
20,17031020702,"West Rogers Park, Chicago, IL",1110.0,51194.0,0.2239,0.2795,0.1952,West Rogers Park
21,17031020801,"West Ridge, Chicago, IL",1041.0,52992.0,0.1819,0.3167,0.085,West Ridge
22,17031020802,"West Ridge, Chicago, IL",1068.0,47846.0,0.2895,0.3825,0.1968,West Ridge
23,17031020901,"West Ridge, Chicago, IL",1105.0,39770.0,0.3214,0.3918,0.1604,West Ridge
24,17031020902,"West Ridge, Chicago, IL",871.0,36389.0,0.2543,0.3161,0.1479,West Ridge
25,17031030101,"Edgewater, Chicago, IL",880.0,47883.0,0.1421,0.5347,0.0662,Edgewater
26,17031030102,"Edgewater, Chicago, IL",857.0,42978.0,0.1298,0.4871,0.1075,Edgewater
27,17031030103,"Edgewater, Chicago, IL",898.0,38571.0,0.229,0.5695,0.151,Edgewater
28,17031030104,"Edgewater, Chicago, IL",934.0,38609.0,0.2877,0.4917,0.2441,Edgewater
29,17031030200,"Edgewater, Chicago, IL",971.0,64484.0,0.1313,0.6012,0.0631,Edgewater
30,17031030300,"Edgewater, Chicago, IL",891.0,35021.0,0.2212,0.3333,0.1598,Edgewater
31,17031030400,"Edgewater, Chicago, IL",858.0,43137.0,0.238,0.5416,0.1414,Edgewater
32,17031030500,"Magnolia Glen, Chicago, IL",1267.0,72003.0,0.1419,0.6005,0.0766,Magnolia Glen
33,17031030601,"Edgewater, Chicago, IL",889.0,38581.0,0.1951,0.5038,0.0565,Edgewater
34,17031030603,"Edgewater, Chicago, IL",771.0,28729.0,0.2909,0.51,0.0963,Edgewater
35,17031030604,"Edgewater Beach, Chicago, IL",952.0,27583.0,0.2291,0.5293,0.0298,Edgewater Beach
36,17031030701,"Edgewater, Chicago, IL",791.0,34239.0,0.2385,0.4171,0.0469,Edgewater
37,17031030702,"Edgewater Beach, Chicago, IL",1057.0,55929.0,0.0986,0.7101,0.0165,Edgewater Beach
38,17031030703,"Edgewater, Chicago, IL",772.0,41048.0,0.1863,0.5802,0.0636,Edgewater
39,17031030706,"Edgewater Beach, Chicago, IL",956.0,34846.0,0.2638,0.447,0.0146,Edgewater Beach
40,17031030800,"Edgewater, Chicago, IL",1272.0,71332.0,0.0653,0.7151,0.0607,Edgewater
41,17031030900,"Edgewater, Chicago, IL",1252.0,81893.0,0.0786,0.5895,0.1283,Edgewater
42,17031031000,"Uptown, Chicago, IL",1185.0,68028.0,0.0635,0.6915,0.092,Uptown
43,17031031100,"Uptown, Chicago, IL",1006.0,58213.0,0.1,0.5794,0.0634,Uptown
44,17031031200,"Uptown, Chicago, IL",658.0,26681.0,0.3268,0.4169,0.0758,Uptown
45,17031031300,"Uptown, Chicago, IL",836.0,35958.0,0.2474,0.4662,0.1293,Uptown
46,17031031400,"Uptown, Chicago, IL",1154.0,65921.0,0.1051,0.7666,0.0505,Uptown
47,17031031501,"Uptown, Chicago, IL",655.0,22365.0,0.4604,0.3449,0.0726,Uptown
