tract,Name,Median_Rent_2012-16,Job_Growth_Rate_from_2004_to_2013,Median_Hhold._Income_of_Residents_in_2012-16,Median_Hhold._Income_of_Residents_in_1990,Poverty_Rate_in_2012-16,Fraction_College_Graduates_in_2012-16,Fraction_Non-White_in_2010,Foreign-Born_Share_in_2012-16,Fraction_Single_Parents_in_2012-16,Population_Density_in_2010,Density_of_Jobs_in_2013,Fraction_with_Short_Work_Commutes_in_2012-16,Census_Response_Rate_Social_Capital_Proxy
17031010100,"Rogers Park, Chicago, IL",872,-0.0102,29489,30020,0.354,0.3494,0.6908,0.1723,0.6088,33020,2531,0.1337,69.9
17031010201,"Rogers Park, Chicago, IL",1012,0.0104,38377,48701,0.3532,0.3188,0.7673,0.283,0.4613,33077,748.7,0.1098,72.4
17031010202,"Rogers Park, Chicago, IL",951,0.0468,29065,48701,0.232,0.3671,0.7023,0.3336,0.4939,20721,5603,0.1311,74.7
17031010300,"Rogers Park, Chicago, IL",897,0.0237,37048,46406,0.1749,0.3619,0.5452,0.2519,0.2603,34264,4918,0.0878,76.5
17031010400,"Rogers Park, Chicago, IL",977,-0.0228,36764,45338,0.1755,0.682,0.3858,0.1055,0.2277,23783,18052,0.2055,75.2
17031010501,"Rogers Park, Chicago, IL",877,0.0697,26417,35785,0.2029,0.5356,0.571,0.2317,0.4106,52449,1833,0.0873,77.2
17031010502,"Rogers Park, Chicago, IL",916,0.0912,29498,35785,0.3869,0.5214,0.4608,0.2276,0.4681,44300,1786,0.1282,72
17031010503,"Rogers Park, Chicago, IL",659,0.0008,17350,35785,0.4658,0.3746,0.421,0.304,0.5,30533,1880,0.1215,77.7
17031010600,"Rogers Park, Chicago, IL",958,0.0325,43410,46575,0.174,0.4701,0.5166,0.2313,0.3469,31921,3094,0.0669,78.1
17031010701,"Rogers Park, Chicago, IL",1041,0.0097,56397,49312,0.1548,0.458,0.6452,0.3397,0.3023,23277,144.6,0.0476,78
