tract,Name,Household_Income_at_Age_35_rP_gP_pall,Incarceration_Rate_rP_gP_pall,Teenage_Birth_Rate_women_only_rP_gP_pall,Individual_Income_Excluding_Spouse_at_Age_35_rP_gP_pall,Fraction_Married_at_Age_35_rP_gP_pall,Spouse's_Income_at_Age_35_rP_gP_pall,Employment_Rate_at_Age_35_rP_gP_pall,High_School_Graduation_Rate_rP_gP_pall,College_Graduation_Rate_rP_gP_pall,Hours_Worked_Per_Week_at_Age_35_rP_gP_pall,Hourly_Wage_$/hour_at_Age_35_rP_gP_pall,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Household_Income_rP_gP_pall,Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall,Frac._In_Top_1%_Based_on_Indiv._Income_rP_gP_pall,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,%_Staying_in_Same_Tract_as_Adults_rP_gP_pall,Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Individual_Income_Stayed_in_Commuting_Zone_rP_gP_pall,Household_Income_for_U.S._Natives_rP_gP_pall,Household_Income_for_Immigrants_rP_gP_pall,Individual_Income_for_U.S._Natives_rP_gP_pall,Individual_Income_for_Immigrants_rP_gP_pall,Number_of_Children_rP_gP_pall
17031071000,"Lincoln Park, Chicago, IL",60758,0.0011,,40468,0.4775,58281,0.8222,,,,,0.4422,,0.4135,,0.6032,0.0888,56252,36935,,,,,281
17031071100,"Lincoln Park, Chicago, IL",65697,0.0006,,42463,0.5749,54995,0.736,,,,,0.4577,,0.5013,,0.5364,0.1064,65695,43227,,,,,292
17031071200,"Lincoln Park, Chicago, IL",57299,0.0222,,34704,0.5097,68173,0.8094,,,,,0.4152,,0.3746,,0.7288,0.1985,57324,32003,,,,,224
17031071300,"Lincoln Park, Chicago, IL",69974,0.0001,,42469,0.5636,59587,0.8353,,,,,0.483,,0.4106,,0.5963,0.0837,77170,43635,,,,,428
17031071400,"Lincoln Park, Chicago, IL",49004,0,,35980,0.3336,43181,0.7169,,,,,0.343,,0.4134,,0.4765,0.1218,46987,35777,,,,,314
17031071500,"Lincoln Park, Chicago, IL",53407,0.006,,37337,0.3881,58625,0.7737,,,,,0.3645,,0.3531,,0.7118,0.2734,47668,37093,,,,,435
17031071600,"Lincoln Park, Chicago, IL",53961,0.0117,,35107,0.3816,50187,0.7261,,,,,0.3677,,0.3805,,0.5111,0.1563,46681,31088,,,,,315
17031071700,"Lincoln Park, Chicago, IL",44066,0.0257,,36228,0.2932,45693,0.8356,,,,,0.2111,,0.2477,,0.6677,0.2238,40106,35420,,,,,237
17031071800,"Lincoln Park, Chicago, IL",44633,0.0124,,33853,0.3458,51250,0.744,,,,,0.2914,,0.3667,,0.6217,0.1572,41590,31864,,,,,516
17031080100,"Gold Coast, Chicago, IL",63495,0.0004,,41218,0.5084,50291,0.7567,,,,,0.4182,,0.4361,,0.5712,0.1259,62402,39835,,,,,437
17031080201,"Near North Side, Chicago, IL",53910,0.0006,,39072,0.4258,55058,0.765,,,,,0.3039,,0.3581,,0.5803,0.108,49724,35966,,,,,221
17031080202,"Gold Coast, Chicago, IL",62811,0.003,,37390,0.5183,64296,0.6689,,,,,0.387,,0.3408,,0.5319,0.1103,54316,36323,,,,,235
17031080300,"Old Town, Chicago, IL",41150,0.011,,30006,0.2903,50141,0.6613,,,,,0.2262,,0.2599,,0.6797,0.1192,42796,29877,,,,,381
17031080400,"Old Town, Chicago, IL",22135,0.0478,,20400,0.1081,33844,0.7543,,,,,0.0481,,0.1118,,0.7406,0.2042,21514,20232,,,,,1683
17031081000,"Near North, Chicago, IL",40396,0.0094,,31235,0.3157,46465,0.7008,,,,,0.2337,,0.2796,,0.6255,0.1,36464,29649,,,,,213
17031081100,"Near North, Chicago, IL",41204,0.036,,31781,0.3302,48592,0.6852,,,,,0.227,,0.275,,0.6153,0.1088,43266,34325,,,,,124
17031081201,"Streeterville, Chicago, IL",57002,0.0252,,38236,0.4878,48884,0.7051,,,,,0.3947,,0.3947,,0.5709,0.1379,55441,37195,,,,,250
17031081202,"Gold Coast, Chicago, IL",71368,0.0029,,39833,0.5519,52596,0.6627,,,,,0.5256,,0.4517,,0.49,0.0988,71179,41829,,,,,185
17031081300,"Streeterville, Chicago, IL",62923,0.0131,,38864,0.5298,57799,0.7433,,,,,0.4206,,0.4091,,0.4544,0.0925,57535,35074,,,,,229
17031081401,"Streeterville, Chicago, IL",48256,0.0211,,35161,0.378,55600,0.737,,,,,0.3216,,0.3689,,0.478,0.0899,41822,32529,,,,,99
17031081402,"Streeterville, Chicago, IL",51989,0.0179,,35850,0.4085,53922,0.7421,,,,,0.3834,,0.3469,,0.5983,0.1301,43735,31283,,,,,184
17031081403,"Streeterville, Chicago, IL",50739,0.0013,,34191,0.4391,55406,0.6981,,,,,0.3709,,0.3394,,0.5591,0.1167,44737,30632,,,,,270
17031081500,"Near North, Chicago, IL",47868,0,,31637,0.4083,51738,0.6088,,,,,0.3381,,0.2946,,0.5503,0.1026,51648,35458,,,,,122
17031081600,"Near North, Chicago, IL",55346,0.0137,,32672,0.459,53718,0.7125,,,,,0.3873,,0.2577,,0.5232,0.0306,52511,31790,,,,,45
17031081700,"River North, Chicago, IL",36371,0.001,,28184,0.3378,35547,0.739,,,,,0.1535,,0.2528,,0.5558,0.123,31015,25520,,,,,159
17031081800,"River North, Chicago, IL",40562,0.0286,,30452,0.338,46725,0.7658,,,,,0.2747,,0.2765,,0.652,0.0683,37197,29259,,,,,243
17031081900,"Cabrini-Green, Chicago, IL",22021,0.0741,,20684,0.0848,,0.7378,,,,,0.0594,,0.1114,,0.8087,0.133,22196,21712,,,,,640
17031190601,"Belmont Central, Chicago, IL",35254,0.0137,,26712,0.3384,35752,0.7447,,,,,0.1088,,0.1434,,0.8616,0.2791,36673,28658,,,,,1255
17031190602,"Belmont Central, Chicago, IL",40591,0.0105,,29828,0.3813,40642,0.7698,,,,,0.1631,,0.1902,,0.8482,0.2337,43702,32441,,,,,1523
17031190702,"Belmont Cragin, Chicago, IL",37203,0.0053,,27438,0.3633,36598,0.7113,,,,,0.1146,,0.1666,,0.854,0.2425,40888,30408,,,,,1517
17031190800,"Belmont Cragin, Chicago, IL",37765,0.0094,,28735,0.3534,37310,0.7566,,,,,0.1214,,0.1773,,0.8278,0.2645,39590,30474,,,,,1988
17031190900,"Belmont Cragin, Chicago, IL",37814,0.0063,,30753,0.3113,41868,0.7845,,,,,0.1295,,0.1688,,0.8427,0.3056,40497,33466,,,,,648
17031191000,"Belmont Cragin, Chicago, IL",36337,0.0131,,26895,0.3581,35618,0.7789,,,,,0.125,,0.1203,,0.7934,0.2492,36205,27388,,,,,916
17031191100,"Belmont Cragin, Chicago, IL",33991,0.0127,,26615,0.3293,32276,0.7591,,,,,0.0863,,0.1278,,0.8187,0.2807,35850,28629,,,,,2553
17031191200,"Belmont Cragin, Chicago, IL",33415,0.0189,,24787,0.3551,32724,0.7446,,,,,0.0828,,0.0962,,0.8389,0.2477,36070,27218,,,,,1318
17031191301,"Belmont Cragin, Chicago, IL",34401,0.0076,,27671,0.291,34761,0.7738,,,,,0.089,,0.1472,,0.8579,0.2771,36824,29862,,,,,1783
